genome	AMO_Group	AMO_Group_Phy	AMO_Group_Phy_2
GCA_002497025.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002497895.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498525.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498725.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502175.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002502365.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002685415.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002708385.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013330385.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_013329905.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002494975.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002495525.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002497245.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002498985.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002499785.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002504905.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002686525.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_004195525.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001628485.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001629205.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001629235.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_001629255.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002172185.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002172375.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002457145.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
GCA_002457155.1	Non_AMO	Non_AMO_TPL	Other Thermoplasmatota
